"server_time  : 2023-12-03 22:51:01 ,  __file__  : C:\Users\WIN10PROPC3\Desktop\services\helper-from-nothing-to-back-up\helper.py, log id: 20231202151917, file_yyyy_mm_dd_HH_MM_SS_zip : helper - 2023 12 03 22 51 01.zip 를 1번 째 백업성공 " 
"server_time  : 2023-12-03 22:52:01 ,  __file__  : C:\Users\WIN10PROPC3\Desktop\services\helper-from-nothing-to-back-up\helper.py, log id: 20231202151917, file_yyyy_mm_dd_HH_MM_SS_zip : helper - 2023 12 03 22 52 01.zip 를 1번 째 백업성공 " 
"server_time  : 2023-12-03 22:53:01 ,  __file__  : C:\Users\WIN10PROPC3\Desktop\services\helper-from-nothing-to-back-up\helper.py, log id: 20231202151917, file_yyyy_mm_dd_HH_MM_SS_zip : helper - 2023 12 03 22 53 01.zip 를 1번 째 백업성공 " 
"server_time  : 2023-12-03 22:54:02 ,  __file__  : C:\Users\WIN10PROPC3\Desktop\services\helper-from-nothing-to-back-up\helper.py, log id: 20231202151917, file_yyyy_mm_dd_HH_MM_SS_zip : helper - 2023 12 03 22 54 01.zip 를 1번 째 백업성공 " 
"server_time  : 2023-12-03 22:55:01 ,  __file__  : C:\Users\WIN10PROPC3\Desktop\services\helper-from-nothing-to-back-up\helper.py, log id: 20231202151917, file_yyyy_mm_dd_HH_MM_SS_zip : helper - 2023 12 03 22 55 01.zip 를 1번 째 백업성공 " 
"server_time  : 2023-12-03 22:56:01 ,  __file__  : C:\Users\WIN10PROPC3\Desktop\services\helper-from-nothing-to-back-up\helper.py, log id: 20231202151917, file_yyyy_mm_dd_HH_MM_SS_zip : helper - 2023 12 03 22 56 01.zip 를 1번 째 백업성공 " 
"server_time  : 2023-12-03 22:56:01 ,  __file__  : C:\Users\WIN10PROPC3\Desktop\services\helper-from-nothing-to-back-up\helper.py, log id: 20231202191140, file_dirname : C:\Python312\Lib\site-packages\pkg_park4139 를 파일자동정리완료 " 
"server_time  : 2023-12-03 22:57:01 ,  __file__  : C:\Users\WIN10PROPC3\Desktop\services\helper-from-nothing-to-back-up\helper.py, log id: 20231202151917, file_yyyy_mm_dd_HH_MM_SS_zip : helper - 2023 12 03 22 57 01.zip 를 1번 째 백업성공 " 
"server_time  : 2023-12-03 22:57:01 ,  __file__  : C:\Users\WIN10PROPC3\Desktop\services\helper-from-nothing-to-back-up\helper.py, log id: 20231202191140, file_dirname : C:\Python312\Lib\site-packages\pkg_park4139 를 파일자동정리완료 " 
"server_time  : 2023-12-03 22:58:01 ,  __file__  : C:\Users\WIN10PROPC3\Desktop\services\helper-from-nothing-to-back-up\helper.py, log id: 20231202151917, file_yyyy_mm_dd_HH_MM_SS_zip : helper - 2023 12 03 22 58 01.zip 를 1번 째 백업성공 " 
"server_time  : 2023-12-03 22:58:01 ,  __file__  : C:\Users\WIN10PROPC3\Desktop\services\helper-from-nothing-to-back-up\helper.py, log id: 20231202191140, file_dirname : C:\Python312\Lib\site-packages\pkg_park4139 를 파일자동정리완료 " 
"server_time  : 2023-12-03 22:59:01 ,  __file__  : C:\Users\WIN10PROPC3\Desktop\services\helper-from-nothing-to-back-up\helper.py, log id: 20231202151917, file_yyyy_mm_dd_HH_MM_SS_zip : helper - 2023 12 03 22 59 01.zip 를 1번 째 백업성공 " 
"server_time  : 2023-12-03 22:59:01 ,  __file__  : C:\Users\WIN10PROPC3\Desktop\services\helper-from-nothing-to-back-up\helper.py, log id: 20231202191140, file_dirname : C:\Python312\Lib\site-packages\pkg_park4139 를 파일자동정리완료 " 
"server_time  : 2023-12-03 23:00:01 ,  __file__  : C:\Users\WIN10PROPC3\Desktop\services\helper-from-nothing-to-back-up\helper.py, log id: 20231202151917, file_yyyy_mm_dd_HH_MM_SS_zip : helper - 2023 12 03 23 00 01.zip 를 1번 째 백업성공 " 
